TIME_PERIOD,OBS_VALUE
2020-06,100.0
2020-07,101.5
2020-08,97.3
2020-09,104.5
2020-10,108.6
2020-11,103.1
2020-12,99.5
2021-01,89.4
2021-02,89.2
2021-03,109.0
2021-04,91.5
2021-05,95.0
2021-06,103.6
2021-07,99.5
2021-08,99.7
2021-09,106.3
2021-10,106.4
2021-11,109.5
2021-12,100.6
2022-01,93.6
2022-02,92.5
2022-03,110.2
2022-04,93.9
2022-05,101.4
2022-06,101.2
2022-07,95.6
2022-08,101.7
2022-09,105.9
2022-10,101.1
2022-11,108.2
2022-12,98.0
2023-01,93.9
2023-02,91.0
2023-03,105.1
2023-04,87.1
2023-05,97.1
2023-06,100.8
2023-07,93.6
2023-08,98.8
2023-09,98.0
2023-10,100.2
2023-11,103.3
2023-12,92.4
2024-01,96.7
2024-02,93.3
2024-03,96.6
2024-04,97.6
2024-05,97.4
2024-06,94.0
2024-07,99.4
2024-08,95.1
2024-09,99.2
2024-10,103.8
